PLAYER_NAME;TEAM_ABBREVIATION;AGE;GP;W;L;MIN;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;PF;PTS;PLUS_MINUS;DD2;TD3;OFF_RATING;DEF_RATING;NET_RATING;AST_PCT;AST_TO;AST_RATIO;OREB_PCT;DREB_PCT;REB_PCT;TM_TOV_PCT;EFG_PCT;TS_PCT;USG_PCT;PACE;PIE;POSS;FGM_PG;FGA_PG;CONFIRMED
Jordan Clarkson;UTA;30.0;79;47;32;27.1;0.419;2.4;7.6;0.318;1.8;2.2;0.828;0.8;2.6;3.5;2.5;1.6;0.8;0.2;1.9;16.0;4.8;1;0;115.7;107.0;8.7;0.144;1.5;12.9;0.03;0.091;0.061;8.6;0.504;0.532;0.258;98.29;0.097;4384;5.9;14.1;1.0
Jordan Goodwin;WAS;23.0;2;1;1;3.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.5;0.0;-4.0;0;0;40.0;150.0;-110.0;0.0;0.0;0.0;0.0;0.2;0.077;0.0;0.0;0.0;0.25;72.81;-0.286;10;0.0;1.5;1.0
Jordan McLaughlin;MIN;26.0;62;36;26;14.5;0.44;0.4;1.4;0.318;0.5;0.6;0.75;0.4;1.2;1.5;2.9;0.6;0.9;0.2;0.9;3.8;0.6;1;0;111.4;109.0;2.4;0.258;4.74;41.4;0.023;0.075;0.049;8.7;0.507;0.535;0.115;105.44;0.088;1976;1.4;3.2;1.0
Jordan Nwora;MIL;23.0;62;34;28;19.1;0.403;1.3;3.7;0.348;0.6;0.7;0.837;0.6;3.0;3.6;1.0;0.9;0.4;0.3;1.3;7.9;-1.2;3;0;109.5;112.5;-3.0;0.071;1.04;9.9;0.03;0.147;0.089;9.5;0.488;0.506;0.187;103.21;0.072;2548;3.0;7.5;1.0
Jordan Poole;GSW;23.0;76;49;27;30.0;0.448;2.8;7.6;0.364;3.2;3.5;0.925;0.4;3.0;3.4;4.0;2.5;0.8;0.3;2.7;18.5;4.3;2;0;112.1;105.5;6.6;0.207;1.63;18.4;0.015;0.094;0.056;11.3;0.548;0.598;0.252;100.05;0.111;4765;6.2;13.9;1.0
Jordan Schakel;WAS;24.0;4;1;3;7.6;0.091;0.3;1.5;0.167;0.5;0.5;1.0;0.5;1.5;2.0;0.0;0.3;0.3;0.0;0.0;1.3;0.5;0;0;101.6;93.8;7.9;0.0;0.0;0.0;0.063;0.188;0.125;7.7;0.136;0.21;0.191;99.12;0.021;61;0.3;2.8;1.0
Jose Alvarado;NOP;24.0;54;25;29;15.4;0.446;0.6;2.0;0.291;0.7;1.0;0.679;0.5;1.4;1.9;2.8;0.7;1.3;0.1;1.4;6.1;2.6;1;0;112.1;104.8;7.3;0.261;3.8;29.9;0.029;0.094;0.06;7.9;0.5;0.52;0.174;100.67;0.107;1756;2.4;5.4;1.0
Josh Christopher;HOU;20.0;74;18;56;18.0;0.448;0.8;2.6;0.296;1.1;1.5;0.735;0.7;1.8;2.5;2.0;1.5;0.9;0.2;1.3;7.9;-3.7;0;0;106.9;116.1;-9.2;0.17;1.32;18.4;0.037;0.103;0.069;14.0;0.504;0.534;0.205;102.59;0.083;2846;3.0;6.8;1.0
Josh Giddey;OKC;19.0;54;17;37;31.5;0.419;1.0;3.9;0.263;1.0;1.5;0.709;1.8;6.0;7.8;6.4;3.2;0.9;0.4;1.6;12.5;-5.5;16;4;101.1;109.4;-8.3;0.325;2.02;28.2;0.052;0.175;0.113;14.0;0.461;0.478;0.218;99.95;0.114;3538;5.2;12.4;1.0
Josh Green;DAL;21.0;67;44;23;15.5;0.508;0.4;1.2;0.359;0.5;0.7;0.689;0.8;1.6;2.4;1.2;0.7;0.7;0.2;1.7;4.8;1.0;1;0;107.5;103.8;3.7;0.11;1.8;19.8;0.049;0.105;0.077;11.1;0.563;0.578;0.13;100.49;0.072;2170;1.9;3.8;1.0
Josh Hart;POR;27.0;54;20;34;33.2;0.504;1.4;3.9;0.343;3.0;3.9;0.758;1.1;6.0;7.2;4.1;2.1;1.1;0.2;2.8;14.9;-3.7;12;0;108.4;113.2;-4.9;0.19;1.96;22.5;0.033;0.183;0.107;11.4;0.569;0.61;0.184;99.35;0.117;3699;5.3;10.5;1.0
Josh Jackson;SAC;25.0;51;12;39;16.3;0.4;0.6;2.5;0.254;1.1;1.5;0.714;0.4;2.4;2.8;1.1;0.9;0.5;0.4;1.7;6.4;-3.1;0;0;103.6;112.2;-8.6;0.105;1.15;12.5;0.025;0.149;0.085;10.9;0.455;0.491;0.196;100.34;0.066;1732;2.4;5.9;0.0
Josh Okogie;MIN;23.0;49;23;26;10.5;0.404;0.3;1.0;0.298;0.7;1.0;0.686;0.6;0.8;1.4;0.5;0.5;0.5;0.2;1.1;2.7;0.8;0;0;104.1;101.6;2.5;0.066;1.09;14.5;0.049;0.077;0.062;13.3;0.471;0.526;0.115;104.93;0.048;1133;0.9;2.1;1.0
Josh Richardson;SAS;28.0;65;38;27;24.6;0.438;1.6;3.8;0.415;1.5;1.7;0.889;0.6;2.2;2.8;1.8;1.0;0.9;0.4;1.8;10.2;2.1;0;0;112.3;107.8;4.5;0.105;1.74;15.2;0.026;0.087;0.057;8.7;0.534;0.573;0.171;98.91;0.083;3292;3.6;8.2;1.0
Joshua Primo;SAS;19.0;50;22;28;19.3;0.374;0.8;2.7;0.307;0.9;1.2;0.746;0.6;1.6;2.3;1.6;1.1;0.4;0.5;1.6;5.8;-1.6;0;0;107.9;111.2;-3.3;0.111;1.42;18.7;0.031;0.079;0.055;13.1;0.452;0.487;0.152;102.04;0.044;2045;2.0;5.4;1.0
Jrue Holiday;MIL;32.0;67;47;20;32.9;0.501;2.0;4.8;0.411;2.0;2.7;0.761;1.0;3.5;4.5;6.8;2.7;1.6;0.4;2.0;18.3;6.4;12;0;118.2;109.7;8.5;0.297;2.5;27.3;0.031;0.1;0.066;10.9;0.57;0.593;0.231;101.18;0.126;4666;7.1;14.2;1.0
Juan Toscano-Anderson;GSW;29.0;73;51;22;13.6;0.489;0.4;1.2;0.322;0.5;1.0;0.571;0.4;2.0;2.4;1.7;0.9;0.7;0.2;1.6;4.1;0.6;0;0;109.8;106.9;2.9;0.18;1.87;27.6;0.03;0.143;0.089;14.8;0.549;0.561;0.144;99.03;0.08;2045;1.6;3.2;1.0
Juancho Hernangomez;UTA;26.0;40;20;20;11.1;0.415;0.6;1.7;0.348;0.5;0.9;0.559;0.7;1.8;2.5;0.5;0.4;0.4;0.3;0.6;3.3;-0.1;0;0;113.7;113.3;0.5;0.064;1.25;12.7;0.063;0.155;0.11;10.2;0.528;0.542;0.133;97.07;0.075;895;1.1;2.7;1.0
Julius Randle;NYK;27.0;72;32;40;35.3;0.411;1.7;5.4;0.308;4.2;5.6;0.756;1.7;8.2;9.9;5.1;3.4;0.7;0.5;2.8;20.1;-2.3;31;1;108.0;111.6;-3.6;0.251;1.51;18.2;0.045;0.225;0.132;12.0;0.459;0.509;0.279;97.68;0.128;5187;7.1;17.3;1.0
Justin Anderson;IND;28.0;16;3;13;19.7;0.379;0.9;3.7;0.254;0.9;1.2;0.789;0.3;2.6;2.9;2.1;0.5;0.5;0.4;1.4;6.4;-0.9;0;0;116.7;116.9;-0.1;0.135;4.13;23.1;0.013;0.142;0.076;5.6;0.458;0.493;0.149;100.0;0.067;652;2.3;5.9;0.0
Justin Champagnie;TOR;21.0;36;21;15;7.8;0.463;0.3;0.8;0.357;0.3;0.3;1.0;1.0;1.0;2.0;0.3;0.2;0.2;0.1;0.9;2.3;1.4;0;0;115.4;108.0;7.4;0.051;1.38;12.2;0.111;0.126;0.118;8.9;0.537;0.571;0.111;99.31;0.07;585;0.9;1.9;1.0
Justin Holiday;SAC;33.0;74;25;49;27.8;0.394;2.4;6.5;0.367;0.7;0.8;0.806;0.4;2.2;2.6;1.7;0.9;0.8;0.4;2.1;10.1;-2.8;0;0;108.8;113.9;-5.1;0.086;1.83;14.4;0.014;0.08;0.046;7.9;0.528;0.543;0.156;100.27;0.057;4302;3.5;8.9;1.0
Justin Jackson;PHX;27.0;7;6;1;5.2;0.333;0.4;1.3;0.333;0.3;0.3;1.0;0.1;0.9;1.0;0.3;0.1;0.0;0.0;0.4;2.1;-1.9;0;0;84.4;100.0;-15.6;0.125;2.0;10.5;0.019;0.167;0.079;5.3;0.433;0.472;0.177;102.01;0.096;77;0.7;2.1;1.0
Justin Robinson;DET;24.0;25;13;12;12.1;0.301;0.7;2.4;0.295;0.2;0.3;0.5;0.2;0.7;0.8;1.3;0.7;0.4;0.0;1.1;3.1;-4.9;0;0;93.8;111.3;-17.5;0.175;1.88;21.9;0.011;0.051;0.031;11.6;0.398;0.404;0.153;104.54;0.023;658;1.1;3.7;0.0
Justise Winslow;POR;26.0;48;24;24;16.1;0.428;0.3;1.4;0.227;0.8;1.4;0.591;1.0;3.2;4.2;1.8;1.0;0.7;0.5;1.4;5.7;0.6;2;0;108.1;105.9;2.1;0.155;1.71;20.0;0.06;0.177;0.12;11.7;0.457;0.479;0.178;103.14;0.093;1661;2.3;5.4;1.0
Jusuf Nurkic;POR;27.0;56;25;31;28.2;0.535;0.3;1.0;0.268;3.3;4.8;0.69;3.0;8.1;11.1;2.8;2.6;1.1;0.6;3.4;15.0;0.2;30;0;109.9;110.1;-0.1;0.16;1.1;15.5;0.101;0.283;0.191;14.1;0.548;0.586;0.233;98.8;0.142;3257;5.7;10.7;1.0
Juwan Morgan;BOS;25.0;2;1;1;15.5;0.667;0.5;1.0;0.5;0.0;0.0;0.0;1.0;1.0;2.0;0.5;0.0;0.0;0.0;1.5;2.5;-8.5;0;0;106.2;132.3;-26.2;0.043;0.0;25.0;0.061;0.065;0.063;0.0;0.833;0.833;0.04;100.76;0.033;65;1.0;1.5;0.0
KZ Okpala;MIA;23.0;21;14;7;11.6;0.435;0.4;1.2;0.346;0.4;0.5;0.727;0.5;1.4;2.0;0.7;0.2;0.2;0.3;1.2;3.7;0.3;0;0;106.9;104.2;2.7;0.082;2.8;15.1;0.044;0.118;0.081;5.4;0.5;0.521;0.141;97.25;0.068;491;1.4;3.3;1.0
Kai Jones;CHA;21.0;21;14;7;3.0;0.643;0.0;0.1;0.5;0.1;0.4;0.375;0.1;0.4;0.5;0.2;0.3;0.0;0.1;0.4;1.0;-0.7;0;0;93.4;104.4;-11.1;0.103;0.67;14.3;0.045;0.114;0.081;21.4;0.679;0.628;0.15;103.76;0.065;136;0.4;0.7;1.0
